date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:04	110/110	---M--	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2010:37:03%20GMT	https://cumby.com/robots.txt		(from )
16:07:06	42277/42277	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2010:37:04%20GMT	https://cumby.com/	C:/Users/dell/Desktop/barath/con6/cumby.com/index.html	(from )
16:07:06	7318/7318	---M--	200	added ('OK')	image/png	etag:%22634d6c93-1c96%22	https://cumby.com/wp-content/themes/wscumby/images/favicon.png	C:/Users/dell/Desktop/barath/con6/cumby.com/wp-content/themes/wscumby/images/favicon.png	(from https://cumby.com/)
16:07:07	4073/4073	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Oct%202022%2010:37:07%20GMT	https://use.typekit.net/xgi8voe.css	C:/Users/dell/Desktop/barath/con6/use.typekit.net/xgi8voe.css	(from https://cumby.com/)
16:07:08	8129/8129	---MCZ	200	added ('OK')	text/css	etag:W/%22634d6c93-1fc1%22	https://cumby.com/wp-content/themes/wscumby/css/normalize.css	C:/Users/dell/Desktop/barath/con6/cumby.com/wp-content/themes/wscumby/css/normalize.css	(from https://cumby.com/)
16:07:10	1986/1986	---MCZ	200	added ('OK')	text/css	etag:W/%22634d6c93-7c2%22	https://cumby.com/wp-content/themes/wscumby/css/icons.css	C:/Users/dell/Desktop/barath/con6/cumby.com/wp-content/themes/wscumby/css/icons.css	(from https://cumby.com/)
16:07:10	142296/142296	---M--	200	added ('OK')	image/jpeg	etag:%22634d6c93-22bd8%22	https://cumby.com/wp-content/themes/wscumby/screenshot.jpg	C:/Users/dell/Desktop/barath/con6/cumby.com/wp-content/themes/wscumby/screenshot.jpg	(from https://cumby.com/)
16:07:10	162802/162802	---MCZ	200	added ('OK')	text/css	etag:W/%22634d6c93-27bf2%22	https://cumby.com/wp-content/themes/wscumby/style.css	C:/Users/dell/Desktop/barath/con6/cumby.com/wp-content/themes/wscumby/style.css	(from https://cumby.com/)
16:07:11	88932/88932	---MCZ	200	added ('OK')	text/css	etag:W/%22634d6c88-15b64%22	https://cumby.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2	C:/Users/dell/Desktop/barath/con6/cumby.com/wp-includes/css/dist/block-library/style.min5b21.css	(from https://cumby.com/)
16:07:12	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%227918-USx9eQM+MCipvmG1QM8aaHDIlvg%22	https://cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min.css?ver=6.0.2	C:/Users/dell/Desktop/barath/con6/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min5b21.css	(from https://cumby.com/)
